no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,arrival_year,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,market_segment_type_Aviation,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online,booking_status_Not_Canceled,room_type_reserved,total_nights,total_people,price_per_person,is_family,stay_duration_flag,lead_time_category_8-30j,lead_time_category_31-90j,lead_time_category_91-180j,lead_time_category_181j+,meal_plan_selected
2,0,1,2,0,224,2017,10,2,0,0,0,65.0,0,0,0,0,1,0,1,1,3,2,32.5,0,0,0,0,0,1,1
2,0,2,3,0,5,2018,11,6,0,0,0,106.68,1,0,0,0,0,1,1,1,5,2,53.34,0,0,0,0,0,0,0
1,0,2,1,0,1,2018,2,28,0,0,0,60.0,0,0,0,0,0,1,0,1,3,1,60.0,0,0,0,0,0,0,1
2,0,0,2,0,211,2018,5,20,0,0,0,100.0,0,0,0,0,0,1,0,1,2,2,50.0,0,0,0,0,0,1,1
2,0,1,1,0,48,2018,4,11,0,0,0,94.5,0,0,0,0,0,1,0,1,2,2,47.25,0,0,0,1,0,0,0
2,0,0,2,0,346,2018,9,13,0,0,0,115.0,1,0,0,0,0,1,0,1,2,2,57.5,0,0,0,0,0,1,1
2,0,1,3,0,34,2017,10,15,0,0,0,107.55,1,0,0,0,0,1,1,1,4,2,53.775,0,0,0,1,0,0,1
2,0,1,3,0,83,2018,12,26,0,0,0,105.61,1,0,0,0,0,1,1,4,4,2,52.805,0,0,0,1,0,0,1
3,0,0,4,0,121,2018,7,6,0,0,0,96.9,1,0,0,0,1,0,1,1,4,3,32.300000000000004,0,0,0,0,1,0,1
2,0,0,5,0,44,2018,10,18,0,0,0,133.44,3,0,0,0,0,1,1,4,5,2,66.72,0,0,0,1,0,0,1
1,0,1,0,0,0,2018,9,11,0,0,0,85.03,0,0,0,0,0,1,1,1,1,1,85.03,0,0,0,0,0,0,0
1,0,2,1,0,35,2018,4,30,0,0,0,140.4,1,0,0,0,0,1,1,4,3,1,140.4,0,0,0,1,0,0,1
2,0,2,1,0,30,2018,11,26,0,0,0,88.0,0,0,0,0,0,1,0,1,3,2,44.0,0,0,1,0,0,0,0
1,0,2,0,0,95,2018,11,20,0,0,0,90.0,2,0,0,0,0,1,0,1,2,1,90.0,0,0,0,0,1,0,1
2,0,0,2,0,47,2017,10,20,0,0,0,94.5,2,0,0,0,0,1,1,1,2,2,47.25,0,0,0,1,0,0,1
2,0,0,2,0,256,2018,6,15,0,0,0,115.0,1,0,0,0,0,1,0,1,2,2,57.5,0,0,0,0,0,1,1
1,0,1,0,0,0,2017,10,5,0,0,0,96.0,0,0,0,0,1,0,1,1,1,1,96.0,0,0,0,0,0,0,1
2,0,1,3,0,1,2017,8,10,0,0,0,96.0,1,0,0,0,0,1,1,1,4,2,48.0,0,0,0,0,0,0,0
2,0,2,2,0,99,2017,10,30,0,0,0,65.0,0,0,0,0,0,1,0,1,4,2,32.5,0,0,0,0,1,0,1
2,0,1,0,0,12,2017,10,4,0,0,0,72.0,0,0,0,0,1,0,1,1,1,2,36.0,0,0,1,0,0,0,1
2,0,2,2,0,99,2017,10,30,0,0,0,65.0,0,0,0,0,0,1,0,1,4,2,32.5,0,0,0,0,1,0,1
1,0,0,1,0,122,2018,11,25,0,0,0,67.0,0,0,0,1,0,0,1,1,1,1,67.0,0,0,0,0,1,0,1
2,0,2,4,0,2,2018,3,20,0,0,0,85.0,0,0,0,0,1,0,1,1,6,2,42.5,0,0,0,0,0,0,1
2,0,0,3,0,37,2018,10,13,0,0,0,105.0,0,0,0,0,1,0,1,1,3,2,52.5,0,0,0,1,0,0,1
2,0,2,1,0,130,2018,5,22,0,0,0,94.5,1,0,0,0,0,1,1,1,3,2,47.25,0,0,0,0,1,0,0
2,0,0,2,0,99,2018,4,28,0,0,0,114.3,1,0,0,0,0,1,1,1,2,2,57.15,0,0,0,0,1,0,1
2,0,1,1,0,60,2017,9,21,0,0,0,65.0,0,0,0,0,1,0,1,1,2,2,32.5,0,0,0,1,0,0,1
1,0,0,2,0,2,2018,5,19,0,0,0,110.0,0,1,0,0,0,0,0,4,2,1,110.0,0,0,0,0,0,0,1
1,0,1,2,0,37,2017,11,6,0,0,0,37.33,0,0,0,0,0,1,0,1,3,1,37.33,0,0,0,1,0,0,1
2,0,0,2,0,56,2017,9,17,0,0,0,82.0,0,0,0,0,1,0,1,1,2,2,41.0,0,0,0,1,0,0,1
2,0,1,1,0,3,2017,9,19,0,0,0,177.5,1,0,0,0,0,1,1,4,2,2,88.75,0,0,0,0,0,0,1
2,0,2,2,0,107,2018,11,13,0,0,0,87.5,1,0,0,0,0,1,1,1,4,2,43.75,0,0,0,0,1,0,1
0,2,0,3,0,56,2018,12,7,0,0,0,82.44,1,0,0,0,0,1,1,2,3,2,41.22,1,0,0,1,0,0,1
2,0,0,1,0,2,2018,1,9,0,0,0,69.5,1,0,0,0,0,1,1,1,1,2,34.75,0,0,0,0,0,0,0
2,0,0,2,0,72,2018,10,7,0,0,0,85.5,0,0,0,0,1,0,1,1,2,2,42.75,0,0,0,1,0,0,1
2,0,0,1,1,23,2018,4,27,0,0,0,115.0,1,0,0,0,0,1,1,1,1,2,57.5,0,0,1,0,0,0,0
1,0,2,1,0,34,2018,6,19,0,0,0,81.0,0,0,0,0,0,1,0,1,3,1,81.0,0,0,0,1,0,0,1
2,0,0,1,0,289,2017,10,17,0,0,0,67.0,0,0,0,0,1,0,1,1,1,2,33.5,0,0,0,0,0,1,1
2,0,2,3,0,247,2018,11,19,0,0,0,63.75,0,0,0,0,0,1,0,1,5,2,31.875,0,0,0,0,0,1,0
2,0,2,1,0,186,2018,7,30,0,0,0,121.8,1,0,0,0,0,1,0,4,3,2,60.9,0,0,0,0,0,1,1
2,0,0,4,0,64,2018,11,1,0,0,0,93.6,2,0,0,0,0,1,1,1,4,2,46.8,0,0,0,1,0,0,1
2,0,0,2,0,35,2018,6,21,0,0,0,102.0,1,0,0,0,0,1,1,1,2,2,51.0,0,0,0,1,0,0,1
3,0,2,1,0,96,2018,4,10,0,0,0,121.8,1,0,0,0,0,1,1,1,3,3,40.6,0,0,0,0,1,0,1
2,0,1,1,0,41,2018,6,27,0,0,0,98.1,1,0,0,0,0,1,0,1,2,2,49.05,0,0,0,1,0,0,0
2,0,0,4,0,55,2017,11,18,0,0,0,60.0,1,0,0,0,1,0,1,4,4,2,30.0,0,0,0,1,0,0,1
2,0,0,3,0,146,2017,12,29,0,0,0,75.0,0,0,0,0,1,0,1,1,3,2,37.5,0,0,0,0,1,0,1
1,0,0,2,0,32,2017,11,20,0,0,0,73.0,0,0,0,0,1,0,1,1,2,1,73.0,0,0,0,1,0,0,1
2,0,0,1,0,55,2018,4,6,0,0,0,104.0,0,0,0,0,1,0,1,1,1,2,52.0,0,0,0,1,0,0,1
2,0,0,4,0,57,2018,11,1,0,0,0,79.2,1,0,0,0,0,1,1,1,4,2,39.6,0,0,0,1,0,0,0
1,0,1,3,0,7,2018,12,29,0,0,0,125.8,2,0,0,0,0,1,1,4,4,1,125.8,0,0,0,0,0,0,1
1,0,2,5,0,124,2018,5,30,0,0,0,87.95,0,0,0,0,0,1,1,1,7,1,87.95,0,0,0,0,1,0,0
2,0,2,2,0,169,2018,4,22,0,0,0,106.0,0,0,0,0,0,1,0,1,4,2,53.0,0,0,0,0,1,0,1
1,0,1,2,0,6,2018,5,16,0,0,0,136.67,1,0,0,0,0,1,1,1,3,1,136.67,0,0,0,0,0,0,1
2,0,0,4,0,51,2017,11,11,0,0,0,60.0,1,0,0,0,1,0,1,4,4,2,30.0,0,0,0,1,0,0,1
2,0,1,0,0,13,2018,6,13,0,0,0,89.0,2,0,0,0,0,1,1,1,1,2,44.5,0,0,1,0,0,0,0
2,0,1,3,0,100,2018,5,19,0,0,0,136.0,1,0,0,0,0,1,1,1,4,2,68.0,0,0,0,0,1,0,1
2,0,0,1,0,139,2018,7,28,0,0,0,94.5,1,0,0,0,0,1,1,1,1,2,47.25,0,0,0,0,1,0,0
2,0,1,2,0,117,2018,12,26,0,0,0,93.6,2,0,0,0,0,1,1,1,3,2,46.8,0,0,0,0,1,0,1
2,0,1,4,0,39,2018,4,20,0,0,0,120.6,0,0,0,0,0,1,0,4,5,2,60.3,0,0,0,1,0,0,1
2,0,0,3,0,86,2018,4,6,0,0,0,99.3,1,0,0,0,0,1,1,4,3,2,49.65,0,0,0,1,0,0,1
2,2,0,1,1,2,2018,9,2,0,0,0,258.0,1,0,0,0,0,1,1,6,1,4,64.5,1,0,0,0,0,0,1
1,0,0,3,0,19,2018,5,3,0,0,0,120.12,2,0,0,0,0,1,1,4,3,1,120.12,0,0,1,0,0,0,1
1,0,0,2,0,192,2018,6,24,0,0,0,95.0,0,0,0,0,1,0,1,1,2,1,95.0,0,0,0,0,0,1,1
1,0,0,1,0,2,2017,9,10,0,0,0,97.2727575083911,1,0,1,0,0,0,1,1,1,1,97.2727575083911,0,0,0,0,0,0,1
2,0,2,1,0,86,2018,12,18,0,0,0,75.0,0,0,0,0,1,0,1,1,3,2,37.5,0,0,0,1,0,0,1
2,0,0,3,0,30,2018,10,5,0,0,0,157.5,2,0,0,0,0,1,1,4,3,2,78.75,0,0,1,0,0,0,1
2,0,0,2,0,179,2018,6,3,0,0,0,97.7,1,0,0,0,0,1,1,4,2,2,48.85,0,0,0,0,1,0,1
2,0,0,2,0,26,2018,4,15,0,0,0,142.0,0,0,0,0,0,1,0,4,2,2,71.0,0,0,1,0,0,0,1
2,0,0,1,0,55,2018,4,6,0,0,0,80.0,0,0,0,0,1,0,1,1,1,2,40.0,0,0,0,1,0,0,1
2,0,1,2,0,74,2018,4,25,0,0,0,85.5,1,0,0,0,0,1,1,1,3,2,42.75,0,0,0,1,0,0,1
2,0,0,3,0,143,2018,8,25,0,0,0,100.0,0,0,0,0,1,0,1,1,3,2,50.0,0,0,0,0,1,0,1
2,0,1,0,0,34,2018,11,14,0,0,0,88.0,2,0,0,0,0,1,1,1,1,2,44.0,0,0,0,1,0,0,0
2,0,1,1,1,30,2018,8,29,0,0,0,122.85,1,0,0,0,0,1,1,1,2,2,61.425,0,0,1,0,0,0,1
2,0,0,2,0,177,2018,6,3,0,0,0,100.0,0,0,0,0,0,1,0,1,2,2,50.0,0,0,0,0,1,0,1
2,0,2,3,0,34,2017,10,25,0,0,0,75.0,0,0,0,0,1,0,1,4,5,2,37.5,0,0,0,1,0,0,1
2,0,1,4,0,18,2018,3,9,0,0,0,116.8,1,0,0,0,0,1,1,4,5,2,58.4,0,0,1,0,0,0,1
3,0,1,1,0,267,2018,12,31,0,0,0,121.5,0,0,0,0,0,1,1,4,2,3,40.5,0,0,0,0,0,1,1
2,0,1,2,0,64,2018,6,27,0,0,0,111.9,1,0,0,0,0,1,1,1,3,2,55.95,0,0,0,1,0,0,1
3,0,2,5,0,155,2018,6,28,0,0,0,121.55,2,0,0,0,0,1,0,4,7,3,40.516666666666666,0,0,0,0,1,0,1
2,0,0,5,0,46,2018,3,29,0,0,0,75.0,1,0,0,0,1,0,1,1,5,2,37.5,0,0,0,1,0,0,1
2,2,0,2,0,83,2018,4,1,0,0,0,159.3,0,0,0,0,0,1,0,6,2,4,39.825,1,0,0,1,0,0,1
2,0,0,5,0,128,2018,10,11,0,0,0,132.3,0,0,0,0,0,1,0,4,5,2,66.15,0,0,0,0,1,0,1
2,0,2,0,0,20,2018,12,25,0,0,0,88.0,2,0,0,0,0,1,1,1,2,2,44.0,0,0,1,0,0,0,0
2,0,1,4,0,40,2018,3,14,0,0,0,98.82,0,0,0,0,0,1,1,4,5,2,49.41,0,0,0,1,0,0,1
2,0,1,2,1,46,2018,3,4,0,0,0,98.3,1,0,0,0,0,1,1,4,3,2,49.15,0,0,0,1,0,0,1
1,0,1,0,0,1,2018,10,17,0,0,0,150.0,2,0,0,0,0,1,1,1,1,1,150.0,0,0,0,0,0,0,1
2,0,2,3,0,196,2018,9,4,0,0,0,96.05,1,0,0,0,0,1,1,1,5,2,48.025,0,0,0,0,0,1,0
1,0,0,2,0,188,2018,6,15,0,0,0,130.0,0,0,0,0,0,1,0,1,2,1,130.0,0,0,0,0,0,1,1
2,0,0,1,0,17,2018,12,10,1,0,5,95.0,0,0,0,0,0,1,1,1,1,2,47.5,0,0,1,0,0,0,0
2,0,0,3,0,146,2018,8,9,0,0,0,113.56,0,0,0,0,1,0,1,5,3,2,56.78,0,0,0,0,1,0,1
2,0,1,3,0,110,2018,5,5,0,0,0,101.58,1,0,0,0,0,1,1,1,4,2,50.79,0,0,0,0,1,0,0
2,0,1,2,1,68,2018,3,18,0,0,0,105.3,0,0,0,0,0,1,1,1,3,2,52.65,0,0,0,1,0,0,1
2,0,2,1,0,73,2018,4,9,0,0,0,115.8,1,0,0,0,0,1,1,4,3,2,57.9,0,0,0,1,0,0,1
2,0,0,1,0,92,2018,5,19,0,0,0,149.4,1,0,0,0,0,1,1,4,1,2,74.7,0,0,0,0,1,0,1
2,0,2,5,0,171,2018,8,30,0,0,0,111.59,0,0,0,0,0,1,0,1,7,2,55.795,0,0,0,0,1,0,1
2,1,0,2,1,134,2018,8,4,0,0,0,130.5,2,0,0,0,0,1,1,1,2,3,43.5,1,0,0,0,1,0,1
2,0,0,2,0,320,2018,8,18,0,0,0,115.0,1,0,0,0,0,1,0,1,2,2,57.5,0,0,0,0,0,1,1
2,0,0,4,0,118,2018,4,13,0,0,0,90.95,1,0,0,0,0,1,1,1,4,2,45.475,0,0,0,0,1,0,1
2,0,0,3,0,30,2018,11,17,0,0,0,76.08,1,0,0,0,0,1,1,1,3,2,38.04,0,0,1,0,0,0,1
2,2,1,3,0,30,2018,12,22,0,0,0,156.9,0,0,0,0,0,1,1,6,4,4,39.225,1,0,1,0,0,0,1
2,0,1,0,0,189,2018,10,23,0,0,0,85.5,2,0,0,0,0,1,1,1,1,2,42.75,0,0,0,0,0,1,0
3,0,1,2,0,55,2018,5,13,0,0,0,159.3,2,0,0,0,0,1,1,4,3,3,53.1,0,0,0,1,0,0,1
1,0,0,4,0,55,2018,12,13,0,0,0,74.8,2,0,0,0,0,1,1,1,4,1,74.8,0,0,0,1,0,0,1
2,0,0,1,0,16,2017,10,31,0,0,0,95.0,1,0,0,0,0,1,1,1,1,2,47.5,0,0,1,0,0,0,1
2,0,0,3,0,24,2017,10,8,0,0,0,107.0,1,0,0,0,0,1,1,1,3,2,53.5,0,0,1,0,0,0,1
2,0,0,3,0,8,2018,2,16,0,0,0,64.0,0,0,0,0,1,0,1,1,3,2,32.0,0,0,1,0,0,0,1
2,0,1,4,1,10,2017,11,2,0,0,0,82.95,0,0,0,0,0,1,1,1,5,2,41.475,0,0,1,0,0,0,1
2,0,1,3,0,0,2017,9,21,0,0,0,155.0,1,0,0,0,0,1,1,4,4,2,77.5,0,0,0,0,0,0,1
2,0,0,1,0,12,2018,6,30,0,0,0,101.68,1,0,0,0,0,1,1,1,1,2,50.84,0,0,1,0,0,0,0
2,0,2,1,0,32,2017,9,5,0,0,0,94.5,3,0,0,0,0,1,1,1,3,2,47.25,0,0,0,1,0,0,1
2,0,0,2,0,182,2018,9,30,0,0,0,117.9,2,0,0,0,0,1,0,1,2,2,58.95,0,0,0,0,0,1,1
2,0,1,0,0,1,2018,6,27,0,0,0,127.0,1,0,0,0,0,1,1,1,1,2,63.5,0,0,0,0,0,0,0
2,0,0,3,0,122,2018,6,16,0,0,0,116.1,2,0,0,0,0,1,1,1,3,2,58.05,0,0,0,0,1,0,0
2,0,2,3,0,40,2018,6,30,0,0,0,117.9,1,0,0,0,0,1,1,1,5,2,58.95,0,0,0,1,0,0,1
2,2,2,2,0,116,2018,6,26,0,0,0,184.24,1,0,0,0,0,1,0,2,4,4,46.06,1,0,0,0,1,0,1
3,0,2,2,1,123,2018,8,13,0,0,0,155.7,1,0,0,0,0,1,1,4,4,3,51.9,0,0,0,0,1,0,1
3,0,2,5,0,40,2018,4,22,0,0,0,135.76,0,0,0,0,0,1,0,4,7,3,45.25333333333333,0,0,0,1,0,0,1
2,1,2,5,0,105,2018,11,12,0,0,0,102.83,3,0,0,0,0,1,1,1,7,3,34.276666666666664,1,0,0,0,1,0,1
2,0,0,1,0,443,2018,4,29,0,0,0,65.0,0,0,0,0,0,1,0,1,1,2,32.5,0,0,0,0,0,1,1
2,0,2,3,0,2,2017,11,14,0,0,0,103.0,1,0,0,0,0,1,1,1,5,2,51.5,0,0,0,0,0,0,1
2,0,0,3,0,317,2018,9,1,0,0,0,106.2,1,0,0,0,0,1,0,1,3,2,53.1,0,0,0,0,0,1,1
2,0,0,2,0,286,2018,9,16,0,0,0,58.5,0,0,0,0,1,0,1,1,2,2,29.25,0,0,0,0,0,1,1
2,0,1,3,0,68,2018,3,10,0,0,0,73.95,0,0,0,0,0,1,0,1,4,2,36.975,0,0,0,1,0,0,1
